structure,type,seas_adj,date,value
ks_s22_1_price_exp_med_m,med,na,2023-01-01,5.080935594723921
ks_s22_1_price_exp_med_m,med,na,2023-02-01,5.0770187476064335
ks_s22_1_price_exp_med_m,med,na,2023-03-01,5.073345646133439
ks_s22_1_price_exp_med_m,med,na,2023-04-01,5.179005175150369
ks_s22_1_price_exp_med_m,med,na,2023-05-01,5.151378723174221
ks_s22_1_price_exp_med_m,med,na,2023-06-01,5.1413751143442505
ks_s22_1_price_exp_med_m,med,na,2023-07-01,5.12067459648487
ks_s22_1_price_exp_med_m,med,na,2023-08-01,5.055810862955707
ks_s22_1_price_exp_med_m,med,na,2023-09-01,5.236631226968592
ks_s22_1_price_exp_med_m,med,na,2023-10-01,5.216171564221937
ks_s22_1_price_exp_med_m,med,na,2023-11-01,5.096063293389176
ks_s22_1_price_exp_med_m,med,na,2023-12-01,5.089024133251772
ks_s22_1_price_exp_med_m,med,na,2024-01-01,4.893345645402376
ks_s22_1_price_exp_med_m,med,na,2024-02-01,4.857000680447493
ks_s22_1_price_exp_med_m,med,na,2024-03-01,4.189763736105997
ks_s22_1_price_exp_med_m,med,na,2024-04-01,4.187294135400735
ks_s22_1_price_exp_med_m,med,na,2024-05-01,4.857615443043264
ks_s22_1_price_exp_mean_m,mean,na,2023-01-01,7.927919738167671
ks_s22_1_price_exp_mean_m,mean,na,2023-02-01,7.906501355947051
ks_s22_1_price_exp_mean_m,mean,na,2023-03-01,8.198198464886932
ks_s22_1_price_exp_mean_m,mean,na,2023-04-01,7.669608034525157
ks_s22_1_price_exp_mean_m,mean,na,2023-05-01,8.070815939423852
ks_s22_1_price_exp_mean_m,mean,na,2023-06-01,7.902297444872597
ks_s22_1_price_exp_mean_m,mean,na,2023-07-01,7.898174506714209
ks_s22_1_price_exp_mean_m,mean,na,2023-08-01,8.070584641425764
ks_s22_1_price_exp_mean_m,mean,na,2023-09-01,8.997110443826587
ks_s22_1_price_exp_mean_m,mean,na,2023-10-01,8.400490802532053
ks_s22_1_price_exp_mean_m,mean,na,2023-11-01,8.375345320215802
ks_s22_1_price_exp_mean_m,mean,na,2023-12-01,7.523010364895866
ks_s22_1_price_exp_mean_m,mean,na,2024-01-01,7.684815281011341
ks_s22_1_price_exp_mean_m,mean,na,2024-02-01,7.4154592865568745
ks_s22_1_price_exp_mean_m,mean,na,2024-03-01,6.940902083382609
ks_s22_1_price_exp_mean_m,mean,na,2024-04-01,7.573063001706199
ks_s22_1_price_exp_mean_m,mean,na,2024-05-01,7.74116159757763
ks_s22_1_price_exp_iqr_m,iqr,na,2023-01-01,7.947017923226355
ks_s22_1_price_exp_iqr_m,iqr,na,2023-02-01,7.690939723408119
ks_s22_1_price_exp_iqr_m,iqr,na,2023-03-01,7.813373282579079
ks_s22_1_price_exp_iqr_m,iqr,na,2023-04-01,7.955510158087405
ks_s22_1_price_exp_iqr_m,iqr,na,2023-05-01,7.825580358299298
ks_s22_1_price_exp_iqr_m,iqr,na,2023-06-01,7.438165867746212
ks_s22_1_price_exp_iqr_m,iqr,na,2023-07-01,8.119666701865057
ks_s22_1_price_exp_iqr_m,iqr,na,2023-08-01,7.795240081854734
ks_s22_1_price_exp_iqr_m,iqr,na,2023-09-01,7.401483674175012
ks_s22_1_price_exp_iqr_m,iqr,na,2023-10-01,7.413072524851444
ks_s22_1_price_exp_iqr_m,iqr,na,2023-11-01,8.272249865305024
ks_s22_1_price_exp_iqr_m,iqr,na,2023-12-01,8.24771622545406
ks_s22_1_price_exp_iqr_m,iqr,na,2024-01-01,7.835752903331236
ks_s22_1_price_exp_iqr_m,iqr,na,2024-02-01,7.863874728139365
ks_s22_1_price_exp_iqr_m,iqr,na,2024-03-01,7.594283221604297
ks_s22_1_price_exp_iqr_m,iqr,na,2024-04-01,7.638952479165401
ks_s22_1_price_exp_iqr_m,iqr,na,2024-05-01,7.673295480913924
ks_s23_1_price_exp_5_med_m,med,na,2023-01-01,2.5275284884740046
ks_s23_1_price_exp_5_med_m,med,na,2023-02-01,2.6405358230403784
ks_s23_1_price_exp_5_med_m,med,na,2023-03-01,2.9514905708704506
ks_s23_1_price_exp_5_med_m,med,na,2023-04-01,2.9361849637132598
ks_s23_1_price_exp_5_med_m,med,na,2023-05-01,3.071336317688301
ks_s23_1_price_exp_5_med_m,med,na,2023-06-01,3.11807252783709
ks_s23_1_price_exp_5_med_m,med,na,2023-07-01,3.1235616101824997
ks_s23_1_price_exp_5_med_m,med,na,2023-08-01,3.0736220180062883
ks_s23_1_price_exp_5_med_m,med,na,2023-09-01,3.32113775219334
ks_s23_1_price_exp_5_med_m,med,na,2023-10-01,3.1428753774903395
ks_s23_1_price_exp_5_med_m,med,na,2023-11-01,3.2275515188144808
ks_s23_1_price_exp_5_med_m,med,na,2023-12-01,3.043641119108075
ks_s23_1_price_exp_5_med_m,med,na,2024-01-01,3.1625931447954576
ks_s23_1_price_exp_5_med_m,med,na,2024-02-01,3.139046810486387
ks_s23_1_price_exp_5_med_m,med,na,2024-03-01,3.1274606347760803
ks_s23_1_price_exp_5_med_m,med,na,2024-04-01,3.4576353504708637
ks_s23_1_price_exp_5_med_m,med,na,2024-05-01,3.216465038715505
ks_s23_1_price_exp_5_mean_m,mean,na,2023-01-01,5.788859186370116
ks_s23_1_price_exp_5_mean_m,mean,na,2023-02-01,6.303878550778777
ks_s23_1_price_exp_5_mean_m,mean,na,2023-03-01,6.4545813577415725
ks_s23_1_price_exp_5_mean_m,mean,na,2023-04-01,6.116261457192052
ks_s23_1_price_exp_5_mean_m,mean,na,2023-05-01,6.57293582027753
ks_s23_1_price_exp_5_mean_m,mean,na,2023-06-01,6.189138518745738
ks_s23_1_price_exp_5_mean_m,mean,na,2023-07-01,6.556236305885481
ks_s23_1_price_exp_5_mean_m,mean,na,2023-08-01,6.55714410088376
ks_s23_1_price_exp_5_mean_m,mean,na,2023-09-01,7.327962264394411
ks_s23_1_price_exp_5_mean_m,mean,na,2023-10-01,6.726921427691798
ks_s23_1_price_exp_5_mean_m,mean,na,2023-11-01,7.007297199501668
ks_s23_1_price_exp_5_mean_m,mean,na,2023-12-01,6.452926316349754
ks_s23_1_price_exp_5_mean_m,mean,na,2024-01-01,7.336463541024979
ks_s23_1_price_exp_5_mean_m,mean,na,2024-02-01,6.987337992191788
ks_s23_1_price_exp_5_mean_m,mean,na,2024-03-01,7.171570740361211
ks_s23_1_price_exp_5_mean_m,mean,na,2024-04-01,7.515954815338922
ks_s23_1_price_exp_5_mean_m,mean,na,2024-05-01,7.457561125926821
ks_s23_1_price_exp_5_iqr_m,iqr,na,2023-01-01,4.333769029467897
ks_s23_1_price_exp_5_iqr_m,iqr,na,2023-02-01,6.053340343079238
ks_s23_1_price_exp_5_iqr_m,iqr,na,2023-03-01,6.294646323895426
ks_s23_1_price_exp_5_iqr_m,iqr,na,2023-04-01,4.454944479624826
ks_s23_1_price_exp_5_iqr_m,iqr,na,2023-05-01,7.176833379116594
ks_s23_1_price_exp_5_iqr_m,iqr,na,2023-06-01,6.359379343467587
ks_s23_1_price_exp_5_iqr_m,iqr,na,2023-07-01,6.002861876978848
ks_s23_1_price_exp_5_iqr_m,iqr,na,2023-08-01,6.528324284629893
ks_s23_1_price_exp_5_iqr_m,iqr,na,2023-09-01,7.720918873180946
ks_s23_1_price_exp_5_iqr_m,iqr,na,2023-10-01,6.690791274364035
ks_s23_1_price_exp_5_iqr_m,iqr,na,2023-11-01,8.222589513678468
ks_s23_1_price_exp_5_iqr_m,iqr,na,2023-12-01,5.15076234599494
ks_s23_1_price_exp_5_iqr_m,iqr,na,2024-01-01,8.14485111565462
ks_s23_1_price_exp_5_iqr_m,iqr,na,2024-02-01,8.029464394519353
